original_url,original_sign_no,normalized_sign_no,issues
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/gm9-40-2a-local-traffic-only-mms-insert-to-be-used-on,GM9-40-2(A),GM9-40-2[A],Sign code normalized: 'GM9-40-2(A)' -> 'GM9-40-2[A]'|Normalized AS1742 reference: 'AS1742.3 Traffic Control for Works on Roads' -> 'AS1742.3 (Traffic Control for Works on Roads)'|Image filename mismatch: 'gm9-40-2_a_thumb.gif' vs normalized 'GM9-40-2[A]'|PDF filename mismatch: 'gm9-40-2_a.pdf' vs normalized 'GM9-40-2[A]'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/gm9-40-2b-local-traffic-only-mms-insert-to-be-used-on,GM9-40-2(B),GM9-40-2[B],Sign code normalized: 'GM9-40-2(B)' -> 'GM9-40-2[B]'|Normalized AS1742 reference: 'AS1742.3 Traffic Control for Works on Roads' -> 'AS1742.3 (Traffic Control for Works on Roads)'|Image filename mismatch: 'gm9-40-2_b_thumb.gif' vs normalized 'GM9-40-2[B]'|PDF filename mismatch: 'gm9-40-2_b.pdf' vs normalized 'GM9-40-2[B]'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/gm9-40-2d-local-traffic-only-mms-insert-to-be-used-on,GM9-40-2(D),GM9-40-2[D],Sign code normalized: 'GM9-40-2(D)' -> 'GM9-40-2[D]'|Normalized AS1742 reference: 'AS1742.3 Traffic Control for Works on Roads' -> 'AS1742.3 (Traffic Control for Works on Roads)'|Image filename mismatch: 'gm9-40-2_d_thumb.gif' vs normalized 'GM9-40-2[D]'|PDF filename mismatch: 'gm9-40-2_d.pdf' vs normalized 'GM9-40-2[D]'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/gm9-79a-speed-limit-ahead-mms-insert-to-be-used-on,GM9-79(A),GM9-79[A],Sign code normalized: 'GM9-79(A)' -> 'GM9-79[A]'|Normalized AS1742 reference: 'AS1742.3 Traffic Control for Works on Roads' -> 'AS1742.3 (Traffic Control for Works on Roads)'|Image filename mismatch: 'gm9-79_a_thumb.gif' vs normalized 'GM9-79[A]'|PDF filename mismatch: 'gm9-79_a.pdf' vs normalized 'GM9-79[A]'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/gm9-79b-speed-limit-ahead-mms-insert-to-be-used-on,GM9-79(B),GM9-79[B],Sign code normalized: 'GM9-79(B)' -> 'GM9-79[B]'|Normalized AS1742 reference: 'AS1742.3 Traffic Control for Works on Roads' -> 'AS1742.3 (Traffic Control for Works on Roads)'|Image filename mismatch: 'gm9-79_b_thumb.gif' vs normalized 'GM9-79[B]'|PDF filename mismatch: 'gm9-79_b.pdf' vs normalized 'GM9-79[B]'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/gm9-79c-speed-limit-ahead-mms-insert-to-be-used-on,GM9-79(C),GM9-79[C],Sign code normalized: 'GM9-79(C)' -> 'GM9-79[C]'|Normalized AS1742 reference: 'AS1742.3 Traffic Control for Works on Roads' -> 'AS1742.3 (Traffic Control for Works on Roads)'|Image filename mismatch: 'gm9-79_c_thumb.gif' vs normalized 'GM9-79[C]'|PDF filename mismatch: 'gm9-79_c.pdf' vs normalized 'GM9-79[C]'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/gm9-79d-speed-limit-ahead-mms-insert-to-be-used-on,GM9-79(D),GM9-79[D],Sign code normalized: 'GM9-79(D)' -> 'GM9-79[D]'|Normalized AS1742 reference: 'AS1742.3 Traffic Control for Works on Roads' -> 'AS1742.3 (Traffic Control for Works on Roads)'|Image filename mismatch: 'gm9-79_d_thumb.gif' vs normalized 'GM9-79[D]'|PDF filename mismatch: 'gm9-79_d.pdf' vs normalized 'GM9-79[D]'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/gm9-89a-no-lines-do-not-overtake-mms-insert-to-be-used,GM9-89(A),GM9-89[A],Sign code normalized: 'GM9-89(A)' -> 'GM9-89[A]'|Normalized AS1742 reference: 'AS1742.3 Traffic Control for Works on Roads' -> 'AS1742.3 (Traffic Control for Works on Roads)'|Image filename mismatch: 'gm9-89_a_thumb.gif' vs normalized 'GM9-89[A]'|PDF filename mismatch: 'gm9-89_a.pdf' vs normalized 'GM9-89[A]'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/gm9-89b-no-lines-do-not-overtake-mms-insert-to-be-used,GM9-89(B),GM9-89[B],Sign code normalized: 'GM9-89(B)' -> 'GM9-89[B]'|Normalized AS1742 reference: 'AS1742.3 Traffic Control for Works on Roads' -> 'AS1742.3 (Traffic Control for Works on Roads)'|Image filename mismatch: 'gm9-89_b_thumb.gif' vs normalized 'GM9-89[B]'|PDF filename mismatch: 'gm9-89_b.pdf' vs normalized 'GM9-89[B]'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/gm9-89c-no-lines-do-not-overtake-mms-insert-to-be-used,GM9-89(C),GM9-89[C],Sign code normalized: 'GM9-89(C)' -> 'GM9-89[C]'|Normalized AS1742 reference: 'AS1742.3 Traffic Control for Works on Roads' -> 'AS1742.3 (Traffic Control for Works on Roads)'|Image filename mismatch: 'gm9-89_c_thumb.gif' vs normalized 'GM9-89[C]'|PDF filename mismatch: 'gm9-89_c.pdf' vs normalized 'GM9-89[C]'
