Original Reference,Proposed Normalized Reference
"Approval from New South Wales Centre for Road Safety - Safer People, required","Approval From NSW Centre For Road Safety - Safer People, required"
Approval form New South Wales Centre for Road Saftey required,Approval From NSW Centre For Road Safety required
Approval from New South Wales Centre For Road Safety required,Approval From NSW Centre For Road Safety required
Approval from New South Wales Centre for Road Safety required,Approval From NSW Centre For Road Safety required
AS 1742-15 (Direction signs),AS 1742.15 (Direction Signs)
AS 2890.1 (Off Street Parking),AS/NZS 2890.1 (Off-Street Car Parking)
AS 2890.1 (Parking Facilities),AS/NZS 2890.1 (Off-Street Car Parking)
AS 7142.4 (Speed Control),AS 1742.4 (Speed Controls)
AS/NZS 2890.1 (Off Street Parking),AS/NZS 2890.1 (Off-Street Car Parking)
AS11742.6 (Tourist & Service),AS 1742.6 (Tourist and Service Signs)
AS1742.1 (General Index),AS 1742.1 (General Index)
AS1742.10 (Pedestrian Control and Protection),AS 1742.10 (Pedestrian Control and Protection)
1742.11 (Parking Controls),AS 1742.11 (Parking Controls)
AS1742.11 (Parking Controls),AS 1742.11 (Parking Controls)
"AS1742.12 (Bus, Transit, Tram and Truck Lanes)","AS 1742.12 (Bus, Transit, Tram and Truck Lanes)"
AS1742.13 (Local Area Traffic Management),AS 1742.13 (Local Area Traffic Management)
AS1742.14 (Traffic Signals),AS 1742.14 (Traffic Signals)
AS1742.15 (Direction Signs),AS 1742.15 (Direction Signs)
AS1742.2 (Traffic Control Devices),AS 1742.2 (Traffic Control Devices)
AS1742.3 (Traffic Control for Works on Roads),AS 1742.3 (Traffic Control for Works on Roads)
AS1742-3 Traffic Control for Works on Roads,AS 1742.3 (Traffic Control for Works on Roads)
AS1742.4 (Speed Controls),AS 1742.4 (Speed Controls)
A.S.1742.6 (Tourist & Service),AS 1742.6 (Tourist and Service Signs)
AS1742.6 (Tourist and Service Signs),AS 1742.6 (Tourist and Service Signs)
AS1742.7 (Railway Crossings),AS 1742.7 (Railway Crossings)
AS1742.9 (Bicycle Facilities),AS 1742.9 (Bicycle Facilities)
AS1743.15 (Direction Signs),AS 1742.15 (Direction Signs)
ASNZS 2890.1 (Off street parking),AS/NZS 2890.1 (Off-Street Car Parking)
Austroads Guide To Road Design Part 3 App F,Austroads Guide To Road Design Part 3 App F
Contact Traffic Management Centre,Contact Traffic Management Centre
For approval and further information Email: Technical.Directions.Publication@rms.nsw.gov.au,For approval and further information Email: Technical.Directions.Publication@rms.nsw.gov.au
"for use with R5-60-1, R5-60-2, R5-60-3","For use with R5-60-1, R5-60-2, R5-60-3"
for use with R5-60-4n,For use with R5-60-4n
For use with R5-61 & R5-81 series,For use with R5-61 & R5-81 series
for use with R5-61-4n & R5-62-4n,For use with R5-61-4n & R5-62-4n
Guide Signposting - Roads & Maritime Services (internal working document only),Guide Signposting - RMS (internal working document only)
Guide Signposting (Roads & Maritime Services) - internal working document only,Guide Signposting - RMS (internal working document only)
Guide Signposting (Roads & Maritime Services) internal working document only,Guide Signposting - RMS (internal working document only)
Guide Signposting ManualTfNSW,Guide Signposting Manual TfNSW
No longer used,No longer used
Not Used in NSW,Not Used in NSW
NSW Bicycle Guidelines,NSW Bicycle Guidelines
NSW Guidelines for Bicycle Road Races,NSW Guidelines For Bicycle Road Races
NSW Speed Zoning Guidelines,NSW Speed Zoning Guidelines
NSW Speed Zoning Standard,NSW Speed Zoning Standard
Project Specific,Project Specific
restricted / Requires New South Wales Centre for Road Safety approval,Restricted / Requires NSW Centre For Road Safety approval
Restricted Parking Areas (Roads and Maritime Services ),Restricted Parking Areas (RMS )
RMS Australian Standard Supplement Part 2,RMS Australian Standard Supplement Part 2
